Title,Date,Summary,Link,Media Coverage,Media Coverage,Media Coverage,Media Coverage
ThisWay Global CEO Angela Hood Illuminates A.I.'s Changing Role in Recruitment Compliance at George Washington University Law School Special Event,09/28/2023,Fireside Chat on Ethical AI at George Washington University Law School,https://www.prnewswire.com/news-releases/thisway-global-ceo-angela-hood-illuminates-ais-changing-role-in-recruitment-compliance-at-george-washington-university-law-school-special-event-301941341.html,,,,
ThisWay Global Extends Collaboration with FloCareer to offer Key Interview Skills with IBM watsonx Orchestrate,10/17/2023,FloCareer joins WXO as Skills Partner,https://www.prnewswire.com/news-releases/flocareer-continues-collaboration-with-thisway-global-to-offer-key-interview-skills-with-ibm-watsonx-orchestrate-301960039.html,,,,
ThisWay Global Announces Launch of Sully’s Sandbox to Help Companies Spur Growth Through Secure Datasets and AI Solutions,04/01/2024,Sully's Sandbox Launch,https://docs.google.com/document/d/11aS3hYRrXaoGOWnRF-IrKwhJF_sVhL7DYOyCbKpSkOA/edit?tab=t.0,,,,
ThisWay Global Recognized as One of Inc. Magazine’s Top Female Founders,04/17/2024,Inc. Magazine Top 2025 Female Founders,https://www.accessnewswire.com/newsroom/en/business-and-professional-services/thisway-global-recognized-as-one-of-inc-magazines-top-female-foun-854076,,,,
ThisWay Global to Host High-Profile Events in Westminster and RecFest UK,07/09/2024,House of Commons RecFest Event,https://www.accessnewswire.com/newsroom/en/business-and-professional-services/thisway-global-to-host-high-profile-events-in-westminster-and-rec-886827,,,,
Austin-Based Founder & CEO Angela Hood Named to Prestigious Forbes 50 Over 50 List,08/06/2024,Forbes 50 Over 50,https://docs.google.com/document/d/1RL5Hy33MRvlNXvyAT55BI1tfKSmU-4eRimUC7HsS9iQ/edit?tab=t.0,,,,
"AI Powerhouse ThisWay Global Drives Unprecedented Efficiency, Ignites Growth With Top-Tier Elite Hires",2/12/2025,Industry-Leader Names New Chief Technology Officer And Chief Innovation Officer,https://www.prnewswire.com/news-releases/ai-powerhouse-thisway-global-drives-unprecede[…]h-with-top-tier-elite-hires-302374715.html?tc=eml_cleartime,,,,
ThisWay Global Expands Commercial Team To Propel Next Phase Of Growth,2/28/2025,Company Expansion Drives Next Growth Phase,https://www.prnewswire.com/news-releases/thisway-global-expands-commercial-team-to-propel-next-phase-of-growth-302388162.html?tc=eml_cleartime,,,,
ThisWay Global Commercial Tean Expansion To Fuel New Level Growth For Company,2/18/2025,Industry Leader Names New Sales Director to Lead Growth Acceleration,https://www.prnewswire.com/news-releases/thisway-global-commercial-team-expansion-to-fuel-new-level-growth-for-company-302378982.html,,,,
"Breaking Barriers in AI-powered Health Insights: ThisWay Global, NVIDIA, Humanate Digital Turn Fragmented Research Into Actionable Intelligence",3/18/2025,"ThisWay Global, Humanate and NVIDIA join forces to unlock actionable insight in health",https://www.prnewswire.com/news-releases/breaking-barriers-in-ai-powered-health-insights-thisway-global-nvidia-humanate-digital-turn-fragmented-research-into-actionable-intelligence-302403724.html,,,,